judge,participant_nr,participant_name,avg_difference,consistency,n_stages,type
Ewa Pobłocka,64,Tianyao Lyu,1.9525000000000006,0.1592757043619645,4,favorite
Ewa Pobłocka,75,Piotr Pawlak,-1.8633333333333333,0.19327585352432305,3,unfavorite
K. Popowa-Zydroń,3,Tomoharu Ushida,1.0199999999999996,1.5660353337861403,3,favorite
K. Popowa-Zydroń,11,Yifan Wu,-1.116666666666666,0.6466494843078097,3,unfavorite
K. Popowa-Zydroń,15,William Yang,1.4375,0.9742785792574935,4,favorite
K. Popowa-Zydroń,24,Piotr Alexewicz,-1.2024999999999997,0.7947444557843739,4,unfavorite
K. Popowa-Zydroń,29,Kevin Chen,-1.3824999999999994,0.5507438152172031,4,unfavorite
K. Popowa-Zydroń,39,Yang (Jack) Gao,1.3333333333333333,1.699673171197595,3,favorite
K. Popowa-Zydroń,41,Eric Guo,-1.1000000000000003,1.074274949287503,3,unfavorite
K. Popowa-Zydroń,47,David Khrikuli,-1.4699999999999998,0.7015340333868346,4,unfavorite
K. Popowa-Zydroń,51,Shiori Kuwahara,1.4825,0.4315307057440995,4,favorite
K. Popowa-Zydroń,53,Hyo Lee,-1.5599999999999987,0.5400617248673217,3,unfavorite
K. Popowa-Zydroń,58,Xiaoxuan Li,-1.2733333333333334,0.3310924677823747,3,unfavorite
K. Popowa-Zydroń,62,Eric Lu,-1.1500000000000004,1.0940521011359559,4,unfavorite
K. Popowa-Zydroń,75,Piotr Pawlak,-1.3933333333333333,0.5921899094791204,3,unfavorite
John Rink,3,Tomoharu Ushida,-1.456666666666667,0.6003517487458679,3,unfavorite
John Rink,15,William Yang,1.8425000000000002,0.7693625608255183,4,favorite
John Rink,24,Piotr Alexewicz,1.0175,1.1656409181218716,4,favorite
John Rink,39,Yang (Jack) Gao,1.8833333333333329,0.16499158227686175,3,favorite
John Rink,41,Eric Guo,2.0,0.33476359818036777,3,favorite
John Rink,47,David Khrikuli,2.0150000000000006,0.48106652346634954,4,favorite
John Rink,57,Tianyou Li,1.0874999999999995,0.6448788645939643,4,favorite
John Rink,62,Eric Lu,1.2824999999999998,0.7364908349735254,4,favorite
John Rink,64,Tianyao Lyu,-1.7674999999999992,0.7564183696870405,4,unfavorite
John Rink,75,Piotr Pawlak,1.176666666666667,1.9154865932417502,3,favorite
Wojciech Świtała,3,Tomoharu Ushida,-1.7900000000000003,0.8821564487096375,3,unfavorite
Wojciech Świtała,11,Yifan Wu,1.1000000000000003,0.6946941773183357,3,favorite
Wojciech Świtała,29,Kevin Chen,1.557500000000001,0.46175615859455466,4,favorite
Wojciech Świtała,39,Yang (Jack) Gao,-1.3333333333333333,1.699673171197595,3,unfavorite
Wojciech Świtała,64,Tianyao Lyu,1.2025000000000006,0.29802474729458356,4,favorite
Wojciech Świtała,73,Vincent Ong,-1.2800000000000002,0.5344623466625122,4,unfavorite
Wojciech Świtała,76,Yehuda Prokopowicz,-1.159999999999999,0.38790033084114145,3,unfavorite
Wojciech Świtała,81,Miyu Shindo,1.1325000000000003,0.7506455555053925,4,favorite
